resume_text,jd_text,years_exp,semantic_similarity,numeric_score,detailed_ai_suggestion,,,,,,
"Customer support specialist with 8 years of experience in live chat, ticketing systems, and CRM platforms like Zendesk and Freshdesk.","DevOps engineer with 3+ years' experience. Required: AWS, Docker, CI/CD, Bash, Kubernetes.",8,0.67,67,"Low fit (Score: 67%, Similarity: 0.67). With 8 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Decline due to mismatch in core skill requirements or domain experience.",,,,,,
"Legal associate with 2 years’ experience in contract review, legal research, and compliance. Skilled in corporate law documentation.",Seeking AI prompt engineer with hands-on experience writing and testing prompts for LLMs. NLP background required.,2,0.71,71,"Moderate fit (Score: 71%, Similarity: 0.71). With 2 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Consider for alternate or adjacent role; assess learning potential.",,,,,,
"Video editor with 3 years of experience in Adobe Premiere, DaVinci Resolve, and After Effects. Worked on YouTube content and short films.",Seeking AI prompt engineer with hands-on experience writing and testing prompts for LLMs. NLP background required.,3,0.82,82,"Good fit (Score: 82%, Similarity: 0.82). With 3 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"AI researcher with 7 years of hands-on research in LLMs, transformers, and reinforcement learning. Published in IEEE and arXiv.",Hiring AI researcher with strong background in NLP and deep learning. PhD preferred. Experience with LLMs is a plus.,7,0.89,89,"Strong fit (Score: 89%, Similarity: 0.89). With 7 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Data engineer with 4 years of experience in building ETL pipelines using Airflow, Python, and Spark. Worked on distributed systems and optimized data warehousing.","System admin role with 3+ years' experience in Linux servers, patching, shell scripting, and network troubleshooting.",4,0.93,93,"Strong fit (Score: 93%, Similarity: 0.93). With 4 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"AI prompt engineer with 2 years of experience crafting prompts for GPT models, optimizing LLM output quality, and fine-tuning NLP tasks.",Hiring ETL developer with SQL expertise and experience in Informatica or SSIS. Must have worked with large datasets.,2,0.77,77,"Good fit (Score: 77%, Similarity: 0.77). With 2 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"Machine Learning engineer with 8 years of experience, including TensorFlow, scikit-learn, and deploying models using Flask. Worked on NLP and forecasting.",Hiring ETL developer with SQL expertise and experience in Informatica or SSIS. Must have worked with large datasets.,8,0.78,78,"Good fit (Score: 78%, Similarity: 0.78). With 8 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"Business analyst with 8 years of experience in requirement gathering, stakeholder communication, and JIRA. Strong in Agile methodology and wireframing.",Hiring AI researcher with strong background in NLP and deep learning. PhD preferred. Experience with LLMs is a plus.,8,0.94,94,"Strong fit (Score: 94%, Similarity: 0.94). With 8 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
Data analyst with 2 years’ experience using Excel and Power BI. Built dashboards and performed reporting. Limited SQL exposure.,"System admin role with 3+ years' experience in Linux servers, patching, shell scripting, and network troubleshooting.",2,0.75,75,"Good fit (Score: 75%, Similarity: 0.75). With 2 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"UI/UX designer with 2 years’ experience in Figma, mobile-first design, prototyping. Limited user research experience.",Seeking a DevSecOps expert with hands-on experience integrating security into DevOps pipelines. Knowledge of Vault and IAM required.,2,0.68,68,"Low fit (Score: 68%, Similarity: 0.68). With 2 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Decline due to mismatch in core skill requirements or domain experience.",,,,,,
"Graphic designer with 2 years’ experience in Adobe Creative Suite, branding, and visual storytelling for marketing teams.","System admin role with 3+ years' experience in Linux servers, patching, shell scripting, and network troubleshooting.",2,0.85,85,"Strong fit (Score: 85%, Similarity: 0.85). With 2 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"QA engineer with 10 years’ experience in manual and automated testing using Selenium, Postman, and JUnit. Experience in writing test plans and bug tracking.","Hiring an ML engineer for model development and deployment. 4+ years of TensorFlow, Flask, NLP preferred.",10,0.78,78,"Good fit (Score: 78%, Similarity: 0.78). With 10 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"Technical writer with 3 years of experience in documentation for APIs, SDKs, and cloud services. Familiar with Markdown, Git, and Confluence.","Hiring full-stack developer (React, Node.js, MongoDB) with experience in building scalable systems and deploying to cloud.",3,0.75,75,"Good fit (Score: 75%, Similarity: 0.75). With 3 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"Blockchain developer with 7 years’ experience in smart contracts, Solidity, Ethereum, and DApp deployment. Built DeFi apps and crypto wallets.","Senior UI/UX designer with 5+ years’ experience. Needs Figma, prototyping, user research, and A/B testing.",7,0.75,75,"Good fit (Score: 75%, Similarity: 0.75). With 7 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"Machine Learning engineer with 1 years of experience, including TensorFlow, scikit-learn, and deploying models using Flask. Worked on NLP and forecasting.",Legal associate needed for reviewing contracts and compliance support. Must know corporate law. 1–3 years of experience.,1,0.71,71,"Moderate fit (Score: 71%, Similarity: 0.71). With 1 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Consider for alternate or adjacent role; assess learning potential.",,,,,,
"HR executive with 4 years’ experience in recruitment, onboarding, and HRMS tools. Proficient in SAP and Zoho People.",Legal associate needed for reviewing contracts and compliance support. Must know corporate law. 1–3 years of experience.,4,0.75,75,"Good fit (Score: 75%, Similarity: 0.75). With 4 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"AI researcher with 2 years of hands-on research in LLMs, transformers, and reinforcement learning. Published in IEEE and arXiv.","QA engineer with 2+ years' experience in Selenium, Postman, automated testing frameworks, and bug tracking tools.",2,0.92,92,"Strong fit (Score: 92%, Similarity: 0.92). With 2 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Legal associate with 4 years’ experience in contract review, legal research, and compliance. Skilled in corporate law documentation.","Hiring a video editor with a portfolio in Premiere, Resolve, and short-form content editing. Social media content a bonus.",4,0.7,70,"Moderate fit (Score: 70%, Similarity: 0.7). With 4 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Consider for alternate or adjacent role; assess learning potential.",,,,,,
"AI prompt engineer with 7 years of experience crafting prompts for GPT models, optimizing LLM output quality, and fine-tuning NLP tasks.","DevOps engineer with 3+ years' experience. Required: AWS, Docker, CI/CD, Bash, Kubernetes.",7,0.68,68,"Low fit (Score: 68%, Similarity: 0.68). With 7 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Decline due to mismatch in core skill requirements or domain experience.",,,,,,
"QA engineer with 5 years’ experience in manual and automated testing using Selenium, Postman, and JUnit. Experience in writing test plans and bug tracking.","Hiring a marketing analyst to track campaign KPIs. Must know Google Analytics, Tableau, and Excel. SEO knowledge is a plus.",5,0.8,80,"Good fit (Score: 80%, Similarity: 0.8). With 5 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
Data analyst with 3 years’ experience using Excel and Power BI. Built dashboards and performed reporting. Limited SQL exposure.,Hiring ETL developer with SQL expertise and experience in Informatica or SSIS. Must have worked with large datasets.,3,0.87,87,"Strong fit (Score: 87%, Similarity: 0.87). With 3 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"HR executive with 3 years’ experience in recruitment, onboarding, and HRMS tools. Proficient in SAP and Zoho People.","System admin role with 3+ years' experience in Linux servers, patching, shell scripting, and network troubleshooting.",3,0.7,70,"Moderate fit (Score: 70%, Similarity: 0.7). With 3 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Consider for alternate or adjacent role; assess learning potential.",,,,,,
"Blockchain developer with 5 years’ experience in smart contracts, Solidity, Ethereum, and DApp deployment. Built DeFi apps and crypto wallets.","Hiring a marketing analyst to track campaign KPIs. Must know Google Analytics, Tableau, and Excel. SEO knowledge is a plus.",5,0.74,74,"Moderate fit (Score: 74%, Similarity: 0.74). With 5 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Consider for alternate or adjacent role; assess learning potential.",,,,,,
"Marketing analyst with 8 years' experience in Google Analytics, campaign reporting, and market segmentation. Strong Excel and Tableau skills.","Looking for a data engineer experienced in Spark, Airflow, and Python for ETL development. Must understand data lakes and pipelines.",8,0.68,68,"Low fit (Score: 68%, Similarity: 0.68). With 8 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Decline due to mismatch in core skill requirements or domain experience.",,,,,,
"QA engineer with 5 years’ experience in manual and automated testing using Selenium, Postman, and JUnit. Experience in writing test plans and bug tracking.",Seeking a DevSecOps expert with hands-on experience integrating security into DevOps pipelines. Knowledge of Vault and IAM required.,5,0.89,89,"Strong fit (Score: 89%, Similarity: 0.89). With 5 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Graphic designer with 10 years’ experience in Adobe Creative Suite, branding, and visual storytelling for marketing teams.","QA engineer with 2+ years' experience in Selenium, Postman, automated testing frameworks, and bug tracking tools.",10,0.67,67,"Low fit (Score: 67%, Similarity: 0.67). With 10 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Decline due to mismatch in core skill requirements or domain experience.",,,,,,
Data analyst with 4 years’ experience using Excel and Power BI. Built dashboards and performed reporting. Limited SQL exposure.,"Hiring a video editor with a portfolio in Premiere, Resolve, and short-form content editing. Social media content a bonus.",4,0.92,92,"Strong fit (Score: 92%, Similarity: 0.92). With 4 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Technical writer with 2 years of experience in documentation for APIs, SDKs, and cloud services. Familiar with Markdown, Git, and Confluence.","Hiring full-stack developer (React, Node.js, MongoDB) with experience in building scalable systems and deploying to cloud.",2,0.79,79,"Good fit (Score: 79%, Similarity: 0.79). With 2 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"DevOps engineer with 9 years' experience in AWS, Docker, Jenkins. Familiar with CI/CD and scripting. No Kubernetes experience.",Looking for a biotech research assistant skilled in CRISPR and PCR techniques. Publication experience preferred.,9,0.95,95,"Strong fit (Score: 95%, Similarity: 0.95). With 9 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Cybersecurity analyst with 8 years' experience in network monitoring, threat detection, and incident response. Skilled in Wireshark, Splunk, and SIEM tools.",Customer support executive with 2+ years of experience in chat/ticket support and CRM tools like Freshdesk is required.,8,0.86,86,"Strong fit (Score: 86%, Similarity: 0.86). With 8 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Business analyst with 7 years of experience in requirement gathering, stakeholder communication, and JIRA. Strong in Agile methodology and wireframing.",Seeking AI prompt engineer with hands-on experience writing and testing prompts for LLMs. NLP background required.,7,0.82,82,"Good fit (Score: 82%, Similarity: 0.82). With 7 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"Software engineer with 4 years' experience in backend development using Python and Flask. Built APIs, integrated PostgreSQL databases, and deployed on cloud. Familiar with Git and Agile.","Hiring full-stack developer (React, Node.js, MongoDB) with experience in building scalable systems and deploying to cloud.",4,0.95,95,"Strong fit (Score: 95%, Similarity: 0.95). With 4 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"ETL developer with 2 years of experience using SSIS, Informatica, and SQL for large-scale data warehouse pipelines.","Looking for a data engineer experienced in Spark, Airflow, and Python for ETL development. Must understand data lakes and pipelines.",2,0.91,91,"Strong fit (Score: 91%, Similarity: 0.91). With 2 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Customer support specialist with 1 years of experience in live chat, ticketing systems, and CRM platforms like Zendesk and Freshdesk.","Seeking a cybersecurity analyst with 3+ years of experience in threat analysis, SIEM tools, and incident response protocols.",1,0.68,68,"Low fit (Score: 68%, Similarity: 0.68). With 1 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Decline due to mismatch in core skill requirements or domain experience.",,,,,,
"Full-stack developer with 2 years’ experience in MERN stack, GraphQL APIs, and scalable architecture for web apps.","Hiring full-stack developer (React, Node.js, MongoDB) with experience in building scalable systems and deploying to cloud.",2,0.77,77,"Good fit (Score: 77%, Similarity: 0.77). With 2 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"AI prompt engineer with 10 years of experience crafting prompts for GPT models, optimizing LLM output quality, and fine-tuning NLP tasks.","Hiring an ML engineer for model development and deployment. 4+ years of TensorFlow, Flask, NLP preferred.",10,0.76,76,"Good fit (Score: 76%, Similarity: 0.76). With 10 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"Legal associate with 9 years’ experience in contract review, legal research, and compliance. Skilled in corporate law documentation.","Looking for a business analyst experienced in Agile teams, wireframing, and stakeholder communication. 2+ years required.",9,0.71,71,"Moderate fit (Score: 71%, Similarity: 0.71). With 9 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Consider for alternate or adjacent role; assess learning potential.",,,,,,
"DevOps engineer with 7 years' experience in AWS, Docker, Jenkins. Familiar with CI/CD and scripting. No Kubernetes experience.","System admin role with 3+ years' experience in Linux servers, patching, shell scripting, and network troubleshooting.",7,0.87,87,"Strong fit (Score: 87%, Similarity: 0.87). With 7 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Customer support specialist with 9 years of experience in live chat, ticketing systems, and CRM platforms like Zendesk and Freshdesk.","DevOps engineer with 3+ years' experience. Required: AWS, Docker, CI/CD, Bash, Kubernetes.",9,0.74,74,"Moderate fit (Score: 74%, Similarity: 0.74). With 9 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Consider for alternate or adjacent role; assess learning potential.",,,,,,
"Software engineer with 6 years' experience in backend development using Python and Flask. Built APIs, integrated PostgreSQL databases, and deployed on cloud. Familiar with Git and Agile.","DevOps engineer with 3+ years' experience. Required: AWS, Docker, CI/CD, Bash, Kubernetes.",6,0.74,74,"Moderate fit (Score: 74%, Similarity: 0.74). With 6 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Consider for alternate or adjacent role; assess learning potential.",,,,,,
"System administrator with 3 years of Linux and Windows server management. Skilled in shell scripting, Active Directory, and patching.","Seeking a data analyst with 3–5 years of experience. Must know SQL, Python or R, and Power BI.",3,0.67,67,"Low fit (Score: 67%, Similarity: 0.67). With 3 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Decline due to mismatch in core skill requirements or domain experience.",,,,,,
"Machine Learning engineer with 5 years of experience, including TensorFlow, scikit-learn, and deploying models using Flask. Worked on NLP and forecasting.","Creative designer needed for branding projects, 3+ years using Adobe tools, with portfolio of marketing visuals.",5,0.85,85,"Strong fit (Score: 85%, Similarity: 0.85). With 5 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Graphic designer with 4 years’ experience in Adobe Creative Suite, branding, and visual storytelling for marketing teams.","Senior UI/UX designer with 5+ years’ experience. Needs Figma, prototyping, user research, and A/B testing.",4,0.66,66,"Low fit (Score: 66%, Similarity: 0.66). With 4 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Decline due to mismatch in core skill requirements or domain experience.",,,,,,
"Cybersecurity analyst with 10 years' experience in network monitoring, threat detection, and incident response. Skilled in Wireshark, Splunk, and SIEM tools.","QA engineer with 2+ years' experience in Selenium, Postman, automated testing frameworks, and bug tracking tools.",10,0.69,69,"Low fit (Score: 69%, Similarity: 0.69). With 10 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Decline due to mismatch in core skill requirements or domain experience.",,,,,,
Data analyst with 2 years’ experience using Excel and Power BI. Built dashboards and performed reporting. Limited SQL exposure.,Hiring ETL developer with SQL expertise and experience in Informatica or SSIS. Must have worked with large datasets.,2,0.66,66,"Low fit (Score: 66%, Similarity: 0.66). With 2 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Decline due to mismatch in core skill requirements or domain experience.",,,,,,
"HR executive with 9 years’ experience in recruitment, onboarding, and HRMS tools. Proficient in SAP and Zoho People.",Seeking a DevSecOps expert with hands-on experience integrating security into DevOps pipelines. Knowledge of Vault and IAM required.,9,0.8,80,"Good fit (Score: 80%, Similarity: 0.8). With 9 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"AI researcher with 7 years of hands-on research in LLMs, transformers, and reinforcement learning. Published in IEEE and arXiv.","Hiring a marketing analyst to track campaign KPIs. Must know Google Analytics, Tableau, and Excel. SEO knowledge is a plus.",7,0.95,95,"Strong fit (Score: 95%, Similarity: 0.95). With 7 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
Data analyst with 4 years’ experience using Excel and Power BI. Built dashboards and performed reporting. Limited SQL exposure.,Hiring ETL developer with SQL expertise and experience in Informatica or SSIS. Must have worked with large datasets.,4,0.8,80,"Good fit (Score: 80%, Similarity: 0.8). With 4 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"HR executive with 5 years’ experience in recruitment, onboarding, and HRMS tools. Proficient in SAP and Zoho People.","Hiring a video editor with a portfolio in Premiere, Resolve, and short-form content editing. Social media content a bonus.",5,0.67,67,"Low fit (Score: 67%, Similarity: 0.67). With 5 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Decline due to mismatch in core skill requirements or domain experience.",,,,,,
"DevOps engineer with 10 years' experience in AWS, Docker, Jenkins. Familiar with CI/CD and scripting. No Kubernetes experience.","Hiring a marketing analyst to track campaign KPIs. Must know Google Analytics, Tableau, and Excel. SEO knowledge is a plus.",10,0.94,94,"Strong fit (Score: 94%, Similarity: 0.94). With 10 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Biotech researcher with 5 years of wet lab experience in CRISPR, gene editing, and PCR techniques. Published in peer-reviewed journals.","We need a Unity game developer with experience in C#, multiplayer systems, and monetization integrations.",5,0.84,84,"Good fit (Score: 84%, Similarity: 0.84). With 5 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"ETL developer with 10 years of experience using SSIS, Informatica, and SQL for large-scale data warehouse pipelines.",Legal associate needed for reviewing contracts and compliance support. Must know corporate law. 1–3 years of experience.,10,0.76,76,"Good fit (Score: 76%, Similarity: 0.76). With 10 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"AI prompt engineer with 9 years of experience crafting prompts for GPT models, optimizing LLM output quality, and fine-tuning NLP tasks.","Hiring an ML engineer for model development and deployment. 4+ years of TensorFlow, Flask, NLP preferred.",9,0.89,89,"Strong fit (Score: 89%, Similarity: 0.89). With 9 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"HR executive with 7 years’ experience in recruitment, onboarding, and HRMS tools. Proficient in SAP and Zoho People.","System admin role with 3+ years' experience in Linux servers, patching, shell scripting, and network troubleshooting.",7,0.77,77,"Good fit (Score: 77%, Similarity: 0.77). With 7 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"Cybersecurity analyst with 3 years' experience in network monitoring, threat detection, and incident response. Skilled in Wireshark, Splunk, and SIEM tools.","Looking for a data engineer experienced in Spark, Airflow, and Python for ETL development. Must understand data lakes and pipelines.",3,0.86,86,"Strong fit (Score: 86%, Similarity: 0.86). With 3 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Data engineer with 1 years of experience in building ETL pipelines using Airflow, Python, and Spark. Worked on distributed systems and optimized data warehousing.",Customer support executive with 2+ years of experience in chat/ticket support and CRM tools like Freshdesk is required.,1,0.76,76,"Good fit (Score: 76%, Similarity: 0.76). With 1 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
